row_index,rebel_threshold,w1,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
147,0.6019775390625,0.03821533203125,77.572,39.06994671099514,10.0,5.513619500836088
148,0.6084033203125,0.04289794921875,77.07000000000001,38.95047624869303,10.2,5.6000000000000005
149,0.6084033203125,0.03821533203125,77.202,38.979420416419735,10.2,5.6000000000000005
150,0.6719775390625,0.07789794921875,76.846,38.90540918689842,10.6,5.851495535331118
151,0.6784033203125,0.07789794921875,77.166,38.97135132376089,10.6,5.851495535331118
152,0.6719775390625,0.07321533203125,77.23400000000001,38.98670316915756,10.6,5.851495535331118
153,0.6719775390625,0.07321533203125,77.23400000000001,38.98670316915756,10.6,5.851495535331118
154,0.6784033203125,0.07789794921875,77.166,38.97135132376089,10.6,5.851495535331118
155,0.6784033203125,0.07321533203125,77.53,39.0589759210351,10.6,5.851495535331118
156,0.7069775390624999,0.02539794921875,74.672,38.735388677538786,11.6,6.437390775772433
157,0.6434033203125,0.02539794921875,76.904,38.916588545246356,10.8,5.946427498927402
158,0.7069775390624999,0.020715332031250002,70.248,39.878891860231015,11.8,6.615134163416491
159,0.7069775390624999,0.020715332031250002,70.248,39.878891860231015,11.8,6.615134163416491
160,0.6434033203125,0.02539794921875,76.904,38.916588545246356,10.8,5.946427498927402
161,0.6434033203125,0.020715332031250002,77.49600000000001,39.0502248905176,10.8,5.946427498927402
162,0.6369775390625,0.060397949218750004,78.25399999999999,39.27281583996747,10.4,5.71314274283428
163,0.7134033203125,0.060397949218750004,77.86,39.14994763725745,10.8,6.013318551349163
164,0.6369775390625,0.05571533203125001,78.418,39.32849979340682,10.4,5.71314274283428
165,0.6369775390625,0.05571533203125001,78.418,39.32849979340682,10.4,5.71314274283428
166,0.7134033203125,0.060397949218750004,77.86,39.14994763725745,10.8,6.013318551349163
167,0.7134033203125,0.05571533203125001,77.764,39.122356575237134,11.0,6.099180272790763
168,0.6194775390624999,0.01664794921875,77.36800000000001,39.01832513063573,10.4,5.71314274283428
169,0.6609033203125,0.01664794921875,76.962,38.9281103574268,11.0,6.099180272790763
170,0.6194775390624999,0.04696533203125001,77.764,39.122356575237134,10.4,5.71314274283428
171,0.6194775390624999,0.04696533203125001,77.764,39.122356575237134,10.4,5.71314274283428
172,0.6609033203125,0.01664794921875,76.962,38.9281103574268,11.0,6.099180272790763
173,0.6609033203125,0.04696533203125001,77.81,39.13546217946072,10.6,5.851495535331118
174,0.6894775390625,0.05164794921875,77.41,39.02861001880544,10.6,5.851495535331118
175,0.5909033203124999,0.05164794921875,86.56,21.921022786357394,10.0,3.286335345030997
176,0.6894775390625,0.011965332031250001,68.44,40.891739997217044,12.0,6.723094525588644
177,0.6894775390625,0.011965332031250001,68.44,40.891739997217044,12.0,6.723094525588644
178,0.5909033203124999,0.05164794921875,86.56,21.921022786357394,10.0,3.286335345030997
179,0.5909033203124999,0.011965332031250001,77.768,39.123487779082275,9.8,5.455272678794342
180,0.6544775390625,0.03414794921875,76.84,38.90427225896919,10.6,5.851495535331118
181,0.6959033203125,0.03414794921875,77.684,39.10006936055229,11.0,6.099180272790763
182,0.6544775390625,0.06446533203125,77.40599999999999,39.0276228330653,10.4,5.71314274283428
183,0.6544775390625,0.06446533203125,77.40599999999999,39.0276228330653,10.4,5.71314274283428
184,0.6959033203125,0.03414794921875,77.684,39.10006936055229,11.0,6.099180272790763
185,0.6959033203125,0.06446533203125,76.888,38.913470366956474,10.6,5.851495535331118
186,0.5844775390625,0.06914794921875,97.3,4.004117880382642,8.2,4.354308211415448
187,0.6259033203125,0.06914794921875,85.628,23.450619949161258,13.8,1.1661903789690602
188,0.5844775390625,0.02946533203125,77.828,39.140648129534085,8.8,5.1536394906900505
189,0.5844775390625,0.02946533203125,77.828,39.140648129534085,8.8,5.1536394906900505
190,0.6259033203125,0.06914794921875,85.628,23.450619949161258,13.8,1.1661903789690602
191,0.6259033203125,0.02946533203125,76.9,38.915806557233275,10.4,5.71314274283428
192,0.5866650390625,0.015554199218750002,77.014,38.938731155496065,9.8,5.455272678794342
193,0.5887158203124999,0.015554199218750002,77.248,38.989921979916815,9.8,5.455272678794342
194,0.5866650390625,0.02399658203125,76.98400000000001,38.93257022083181,9.6,5.351635264103861
195,0.5866650390625,0.02399658203125,76.98400000000001,38.93257022083181,9.6,5.351635264103861
196,0.5887158203124999,0.015554199218750002,77.248,38.989921979916815,9.8,5.455272678794342
197,0.5887158203124999,0.02399658203125,77.40599999999999,39.0276228330653,9.6,5.351635264103861
198,0.6566650390625,0.050554199218750005,77.604,39.07842453323829,10.6,5.851495535331118
199,0.6587158203125,0.050554199218750005,77.63199999999999,39.08592708379833,10.6,5.851495535331118
200,0.6566650390625,0.05899658203125001,76.88,38.91192105255149,10.6,5.851495535331118
201,0.6566650390625,0.05899658203125001,76.88,38.91192105255149,10.6,5.851495535331118
202,0.6587158203125,0.050554199218750005,77.63199999999999,39.08592708379833,10.6,5.851495535331118
203,0.6587158203125,0.05899658203125001,77.144,38.966484881241215,10.6,5.851495535331118
204,0.6916650390625,0.033054199218750004,77.736,39.114483046564736,11.0,6.099180272790763
205,0.6237158203125,0.033054199218750004,78.194,39.253108717654456,10.4,5.71314274283428
206,0.6916650390625,0.04149658203125001,76.908,38.91737216205637,11.0,6.099180272790763
207,0.6916650390625,0.04149658203125001,76.908,38.91737216205637,11.0,6.099180272790763
208,0.6237158203125,0.033054199218750004,78.194,39.253108717654456,10.4,5.71314274283428
209,0.6237158203125,0.04149658203125001,78.088,39.21916592687815,10.4,5.71314274283428
210,0.6216650390624999,0.06805419921875,85.974,21.97366387291842,12.8,2.6381811916545836
211,0.6937158203125,0.06805419921875,78.062,39.211010902551344,10.6,5.851495535331118
212,0.6216650390624999,0.07649658203125,89.83,14.12877064715823,11.6,3.4985711369071804
213,0.6216650390624999,0.07649658203125,89.83,14.12877064715823,11.6,3.4985711369071804
214,0.6937158203125,0.06805419921875,78.062,39.211010902551344,10.6,5.851495535331118
215,0.6937158203125,0.07649658203125,77.896,39.160531967786135,10.6,5.851495535331118
216,0.6391650390625,0.041804199218750004,76.84400000000001,38.90502980335576,10.4,5.71314274283428
217,0.6762158203124999,0.041804199218750004,77.63199999999999,39.08592708379833,10.6,5.851495535331118
218,0.6391650390625,0.06774658203125,81.19399999999999,33.478102455187035,10.4,5.71314274283428
219,0.6391650390625,0.06774658203125,81.19399999999999,33.478102455187035,10.4,5.71314274283428
220,0.6762158203124999,0.041804199218750004,77.63199999999999,39.08592708379833,10.6,5.851495535331118
221,0.6762158203124999,0.06774658203125,77.662,39.09405294926582,10.6,5.851495535331118
222,0.7091650390625,0.07680419921875001,77.236,38.98716178436178,10.6,5.851495535331118
223,0.6062158203125,0.07680419921875001,96.74600000000001,4.030829195091255,9.4,4.2708313008125245
224,0.7091650390625,0.032746582031250006,77.288,38.99922788979289,11.4,6.343500610861482
225,0.7091650390625,0.032746582031250006,77.288,38.99922788979289,11.4,6.343500610861482
226,0.6062158203125,0.07680419921875001,96.74600000000001,4.030829195091255,9.4,4.2708313008125245
