row_index,w1,w2,w3,w4,w5_social,despair_rate,rebel_threshold,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
99,0.040727539062500005,0.951171875,0.2041015625,2.158837890625,0.43266601562500007,0.02567041015625,0.657587890625,88.232,10.957257686118364,16.0,1.5491933384829668
100,0.0204931640625,0.951171875,0.2041015625,2.158837890625,0.43266601562500007,0.02567041015625,0.657587890625,68.232,22.24177636790731,17.6,2.3323807579381204
101,0.040727539062500005,0.207421875,0.2041015625,2.158837890625,0.43266601562500007,0.02567041015625,0.657587890625,88.232,10.957257686118364,16.0,1.5491933384829668
102,0.040727539062500005,0.951171875,0.3935546875,2.158837890625,0.43266601562500007,0.02567041015625,0.657587890625,87.032,11.02853462614141,15.4,1.2
103,0.040727539062500005,0.951171875,0.2041015625,1.028271484375,0.43266601562500007,0.02567041015625,0.657587890625,85.89399999999999,11.152066355613206,15.2,1.1661903789690602
104,0.040727539062500005,0.951171875,0.2041015625,2.158837890625,0.760498046875,0.02567041015625,0.657587890625,88.236,10.955770351737023,16.0,1.5491933384829668
105,0.040727539062500005,0.951171875,0.2041015625,2.158837890625,0.43266601562500007,0.018052246093750002,0.657587890625,79.17999999999999,18.358863799266008,16.6,1.8547236990991407
106,0.040727539062500005,0.951171875,0.2041015625,2.158837890625,0.43266601562500007,0.02567041015625,0.636123046875,83.624,11.66066996359986,15.4,1.2
107,0.0204931640625,0.207421875,0.3935546875,1.028271484375,0.760498046875,0.018052246093750002,0.636123046875,81.80199999999999,14.359925347995372,16.0,1.5491933384829668
108,0.031977539062500004,0.451171875,0.1541015625,2.371337890625,0.545166015625,0.02204541015625,0.605087890625,86.982,10.885650003559734,15.4,1.2
109,0.04674316406250001,0.451171875,0.1541015625,2.371337890625,0.545166015625,0.02204541015625,0.605087890625,91.52799999999999,10.224205396997853,14.6,2.33238075793812
110,0.031977539062500004,0.7074218750000001,0.1541015625,2.371337890625,0.545166015625,0.02204541015625,0.605087890625,86.982,10.885650003559734,15.4,1.2
111,0.031977539062500004,0.451171875,0.2435546875,2.371337890625,0.545166015625,0.02204541015625,0.605087890625,83.46799999999999,11.655217544087282,15.2,1.1661903789690602
112,0.031977539062500004,0.451171875,0.1541015625,1.665771484375,0.545166015625,0.02204541015625,0.605087890625,91.338,10.085199849284097,15.0,1.5491933384829668
113,0.031977539062500004,0.451171875,0.1541015625,2.371337890625,0.647998046875,0.02204541015625,0.605087890625,86.982,10.885650003559734,15.4,1.2
114,0.031977539062500004,0.451171875,0.1541015625,2.371337890625,0.545166015625,0.00717724609375,0.605087890625,72.60600000000001,22.503173642844246,17.6,2.3323807579381204
115,0.031977539062500004,0.451171875,0.1541015625,2.371337890625,0.545166015625,0.02204541015625,0.583623046875,90.592,10.169679247645917,14.4,2.244994432064365
116,0.04674316406250001,0.7074218750000001,0.2435546875,1.665771484375,0.647998046875,0.00717724609375,0.583623046875,90.564,10.25887050313045,14.2,3.6
117,0.06697753906250001,0.8511718750000001,0.3541015625,1.521337890625,0.995166015625,0.007545410156250001,0.675087890625,87.11999999999999,10.846523867119823,16.0,1.5491933384829668
118,0.0117431640625,0.8511718750000001,0.3541015625,1.521337890625,0.995166015625,0.007545410156250001,0.675087890625,20.0,40.0,1.8,5.6
119,0.06697753906250001,0.307421875,0.3541015625,1.521337890625,0.995166015625,0.007545410156250001,0.675087890625,87.11999999999999,10.846523867119823,16.0,1.5491933384829668
