row_index,replicate_id,peak_mutiny,collapse_quarter
136.0,2,70.96000000000001,13.8
136.0,3,70.96000000000001,13.8
136.0,4,70.96000000000001,13.8
137.0,0,96.818,13.6
137.0,1,96.818,13.6
137.0,2,96.818,13.6
137.0,3,96.818,13.6
137.0,4,96.818,13.6
138.0,0,94.798,13.2
138.0,1,94.798,13.2
138.0,2,94.798,13.2
138.0,3,94.798,13.2
138.0,4,94.798,13.2
139.0,0,95.64,13.2
139.0,1,95.64,13.2
139.0,2,95.64,13.2
139.0,3,95.64,13.2
139.0,4,95.64,13.2
140.0,0,34.162,8.4
140.0,1,34.162,8.4
140.0,2,34.162,8.4
140.0,3,34.162,8.4
140.0,4,34.162,8.4
141.0,0,94.798,13.2
141.0,1,94.798,13.2
141.0,2,94.798,13.2
141.0,3,94.798,13.2
141.0,4,94.798,13.2
142.0,0,85.26,16.2
142.0,1,85.26,16.2
142.0,2,85.26,16.2
142.0,3,85.26,16.2
142.0,4,85.26,16.2
143.0,0,34.318,9.8
143.0,1,34.318,9.8
143.0,2,34.318,9.8
143.0,3,34.318,9.8
143.0,4,34.318,9.8
144.0,0,68.572,15.0
144.0,1,68.572,15.0
144.0,2,68.572,15.0
144.0,3,68.572,15.0
144.0,4,68.572,15.0
145.0,0,71.914,14.0
145.0,1,71.914,14.0
145.0,2,71.914,14.0
145.0,3,71.914,14.0
145.0,4,71.914,14.0
146.0,0,66.63,15.2
146.0,1,66.63,15.2
146.0,2,66.63,15.2
146.0,3,66.63,15.2
146.0,4,66.63,15.2
147.0,0,70.474,15.0
147.0,1,70.474,15.0
147.0,2,70.474,15.0
147.0,3,70.474,15.0
147.0,4,70.474,15.0
148.0,0,43.83,5.8
148.0,1,43.83,5.8
148.0,2,43.83,5.8
148.0,3,43.83,5.8
148.0,4,43.83,5.8
149.0,0,69.966,15.4
149.0,1,69.966,15.4
149.0,2,69.966,15.4
149.0,3,69.966,15.4
149.0,4,69.966,15.4
150.0,0,93.634,15.0
150.0,1,93.634,15.0
150.0,2,93.634,15.0
150.0,3,93.634,15.0
150.0,4,93.634,15.0
151.0,0,91.808,15.8
151.0,1,91.808,15.8
151.0,2,91.808,15.8
151.0,3,91.808,15.8
