row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
3400,0,1786275624448,sobol_3400_0,v1,0.0595,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.694,0,5,28.64,0.573,1,2302,4.0,3.177,1,30,5645,143988.3,100.0,14,45.79
3400,1,1786275626262,sobol_3400_1,v1,0.0595,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.694,1,5,98.5,0.573,1,4000,4.0,1.094,0,30,5601,288353.9,25.1,16,12.6
3400,2,1786275628136,sobol_3400_2,v1,0.0595,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.694,0,5,36.98,0.573,1,2031,4.0,3.368,0,30,6489,300021.4,61.38,16,8.6
3400,3,1786275630048,sobol_3400_3,v1,0.0595,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.694,0,5,50.6,0.573,1,2050,4.0,3.356,0,30,6470,304156.4,57.24,17,14.53
3400,4,1786275631524,sobol_3400_4,v1,0.0595,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.694,1,5,93.52,0.573,1,4133,4.0,1.452,1,30,6536,177353.7,100.0,14,65.76
3401,0,1786275632609,sobol_3401_0,v1,0.0736,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.694,0,31,28.64,0.356,1,0,14.959,14.959,1,30,5645,133212.2,100.0,13,8.29
3401,1,1786275634006,sobol_3401_1,v1,0.0736,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.694,1,31,98.5,0.356,1,0,17.679,17.679,0,30,5601,162039.9,87.18,15,13.57
3401,2,1786275635922,sobol_3401_2,v1,0.0736,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.694,0,31,36.98,0.356,1,0,19.854,19.854,0,30,6489,252799.1,89.15,16,8.43
3401,3,1786275624680,sobol_3401_3,v1,0.0736,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.694,0,31,50.6,0.356,1,0,20.596,20.596,0,30,6470,262037.0,91.37,16,14.59
3401,4,1786275626025,sobol_3401_4,v1,0.0736,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.694,1,31,93.52,0.356,1,0,14.914,14.914,1,30,6536,155737.0,100.0,13,5.46
3402,0,1786275627167,sobol_3402_0,v1,0.0245,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.619,0,21,28.64,0.923,1,0,13.537,13.537,1,30,5645,132906.4,100.0,13,8.45
3402,1,1786275628439,sobol_3402_1,v1,0.0245,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.619,1,21,98.5,0.923,1,0,15.216,15.216,0,30,5601,151703.5,88.54,14,13.12
3402,2,1786275629844,sobol_3402_2,v1,0.0245,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.619,0,21,36.98,0.923,1,0,16.37,16.37,0,30,6489,189452.8,87.12,15,8.61
3402,3,1786275631479,sobol_3402_3,v1,0.0245,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.619,0,21,50.6,0.923,1,0,17.455,17.455,0,30,6470,215371.4,86.21,17,14.65
3402,4,1786275632682,sobol_3402_4,v1,0.0245,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.619,1,21,93.52,0.923,1,0,13.672,13.672,1,30,6536,156732.8,100.0,13,5.62
3403,0,1786275634004,sobol_3403_0,v1,0.0386,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.619,0,21,28.64,0.923,1,0,13.0,13.0,1,30,5645,129443.4,100.0,13,8.45
3403,1,1786275624349,sobol_3403_1,v1,0.0386,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.619,1,21,98.5,0.923,1,0,15.042,15.042,0,30,5601,149625.1,84.03,14,13.28
3403,2,1786275625658,sobol_3403_2,v1,0.0386,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.619,0,21,36.98,0.923,1,0,15.931,15.931,0,30,6489,183491.7,85.27,15,8.55
3403,3,1786275627202,sobol_3403_3,v1,0.0386,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.619,0,21,50.6,0.923,1,0,16.646,16.646,0,30,6470,212983.7,84.9,16,14.87
3403,4,1786275628644,sobol_3403_4,v1,0.0386,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.619,1,21,93.52,0.923,1,0,13.483,13.483,1,30,6536,155274.1,100.0,13,5.62
3404,0,1786275629672,sobol_3404_0,v1,0.0245,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.619,0,15,28.64,0.923,1,0,13.536,13.536,1,30,5645,132906.4,100.0,13,8.45
3404,1,1786275631365,sobol_3404_1,v1,0.0245,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.619,1,15,98.5,0.923,1,2280,13.984,7.988,0,30,5601,226867.6,56.98,14,13.09
3404,2,1786275633169,sobol_3404_2,v1,0.0245,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.619,0,15,36.98,0.923,1,3359,14.0,7.584,0,30,6489,292378.5,40.47,16,8.66
