row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1049,1,1786309715771,sobol_1049_1,v1,0.0444,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.697,1,9,98.5,0.641,1,4340,8.0,1.601,0,30,5601,299440.8,16.88,-1,12.73
1049,2,1786309717704,sobol_1049_2,v1,0.0444,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.697,0,9,36.98,0.641,1,2107,8.0,6.016,0,30,6489,308369.0,58.1,17,8.78
1049,3,1786309706475,sobol_1049_3,v1,0.0444,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.697,0,9,50.6,0.641,1,2801,8.0,5.325,0,30,6470,323793.2,49.3,18,14.79
1049,4,1786309708033,sobol_1049_4,v1,0.0444,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.697,1,9,93.52,0.641,1,5447,8.0,1.234,1,30,6536,185390.7,100.0,24,85.62
1050,0,1786309708959,sobol_1050_0,v1,0.0186,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.66,0,20,28.64,0.381,1,0,14.733,14.733,1,30,5645,140803.6,100.0,14,8.45
1050,1,1786309710377,sobol_1050_1,v1,0.0186,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.66,1,20,98.5,0.381,1,0,16.665,16.665,0,30,5601,170844.1,89.07,16,13.23
1050,2,1786309711651,sobol_1050_2,v1,0.0186,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.66,0,20,36.98,0.381,1,0,18.23,18.23,0,30,6489,228593.5,88.62,18,8.41
1050,3,1786309713654,sobol_1050_3,v1,0.0186,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.66,0,20,50.6,0.381,1,1332,19.0,15.229,0,30,6470,348508.0,25.38,19,14.51
1050,4,1786309715235,sobol_1050_4,v1,0.0186,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.66,1,20,93.52,0.381,1,0,15.024,15.024,1,30,6536,167851.7,100.0,15,5.49
1051,0,1786309716085,sobol_1051_0,v1,0.0794,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.66,0,20,28.64,0.381,1,0,13.0,13.0,1,30,5645,129897.3,100.0,13,8.29
1051,1,1786309716230,sobol_1051_1,v1,0.0794,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.66,1,20,98.5,0.381,1,0,15.38,15.38,0,30,5601,155894.1,96.55,15,13.1
1051,2,1786309717869,sobol_1051_2,v1,0.0794,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.66,0,20,36.98,0.381,1,0,15.769,15.769,0,30,6489,214682.6,85.67,15,8.71
1051,3,1786309719199,sobol_1051_3,v1,0.0794,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.66,0,20,50.6,0.381,1,0,16.173,16.173,0,30,6470,241714.2,95.73,15,14.5
1051,4,1786309720651,sobol_1051_4,v1,0.0794,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.66,1,20,93.52,0.381,1,0,13.541,13.541,1,30,6536,157123.4,100.0,13,5.49
1052,0,1786309721671,sobol_1052_0,v1,0.0186,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.66,0,25,28.64,0.381,1,176,15.267,14.84,1,30,5645,140937.6,100.0,14,11.48
1052,1,1786309722919,sobol_1052_1,v1,0.0186,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.66,1,25,98.5,0.381,1,0,17.495,17.495,0,30,5601,170809.3,89.07,16,13.27
1052,2,1786309724526,sobol_1052_2,v1,0.0186,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.66,0,25,36.98,0.381,1,0,19.04,19.04,0,30,6489,228621.7,88.62,18,8.54
1052,3,1786309726511,sobol_1052_3,v1,0.0186,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.66,0,25,50.6,0.381,1,0,5.033,5.033,0,30,6470,348836.4,25.38,19,14.48
1052,4,1786309716723,sobol_1052_4,v1,0.0186,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.66,1,25,93.52,0.381,1,0,15.553,15.553,1,30,6536,167850.8,100.0,15,5.51
1053,0,1786309717998,sobol_1053_0,v1,0.0186,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.66,0,20,28.64,0.991,1,0,14.733,14.733,1,30,5645,140803.6,100.0,14,8.45
