row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
8092,3,1786066367401,sobol_8092_3,v1,0.0301,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.592,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8092,4,1786066358896,sobol_8092_4,v1,0.0301,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.592,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8093,0,1786066360023,sobol_8093_0,v1,0.062,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.592,0,21,67.94,0.302,1,0,10.855,10.855,1,30,5645,103619.4,100.0,7,8.63
8093,1,1786066360974,sobol_8093_1,v1,0.062,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.592,1,29,42.1,0.958,1,834,14.901,12.477,0,30,5601,148652.4,89.94,11,13.28
8093,2,1786066362353,sobol_8093_2,v1,0.062,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.592,0,33,49.87,0.667,1,0,11.589,11.589,1,30,6489,107139.3,100.0,6,8.55
8093,3,1786066363344,sobol_8093_3,v1,0.062,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.592,0,19,95.71,0.975,1,0,11.388,11.388,1,30,6470,121566.8,100.0,7,14.42
8093,4,1786066365317,sobol_8093_4,v1,0.062,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.592,1,17,59.46,0.802,1,1669,16.0,11.813,0,30,6536,287527.3,73.83,16,5.4
8094,0,1786066366449,sobol_8094_0,v1,0.0651,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.707,0,21,67.94,0.302,1,0,13.722,13.722,1,30,5645,134248.3,100.0,13,8.43
8094,1,1786066367867,sobol_8094_1,v1,0.0651,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.707,1,29,42.1,0.958,1,1331,18.051,13.232,0,30,5601,211932.5,86.74,15,13.48
8094,2,1786066358448,sobol_8094_2,v1,0.0651,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.707,0,33,49.87,0.667,1,0,14.368,14.368,1,30,6489,144195.9,100.0,13,8.75
8094,3,1786066359825,sobol_8094_3,v1,0.0651,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.707,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8094,4,1786066361974,sobol_8094_4,v1,0.0651,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.707,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8095,0,1786066363073,sobol_8095_0,v1,0.0651,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.662,0,21,67.94,0.302,1,0,13.099,13.099,1,30,5645,130176.5,100.0,13,8.43
8095,1,1786066364421,sobol_8095_1,v1,0.0651,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.662,1,29,42.1,0.958,1,828,17.125,14.34,0,30,5601,176094.0,84.89,15,13.59
